name,type,Average,Variance,Std,Min,Max,Geometric_mean,Harmonic_mean
zzzzzz.xxxxxx.cccccc,Malware,17.07234826,2631.26819,51.29588862,3.439,500,9.842654988,8.648555124
zzzzzz.xxxxxx.cccccc,Malware,22.71409901,4076.825987,63.8500273,3.901,500,11.65050072,9.920060747
zzzzzz.xxxxxx.cccccc,Malware,17.10626368,2715.687738,52.11226092,3.06,500,9.639209149,8.404993571
zzzzzz.xxxxxx.cccccc,Malware,20.94221393,2713.630926,52.09252275,3.018,500,12.45111564,10.51147211
zzzzzz.xxxxxx.cccccc,Malware,17.34967164,2699.327595,51.9550536,3.007,500,9.55343971,8.230839597
zzzzzz.xxxxxx.cccccc,Malware,17.82828856,2703.717954,51.99728795,2.997,500,10.22835286,8.985320268
zzzzzz.xxxxxx.cccccc,Malware,34.0050936,6352.42246,79.70208567,3.062,500,13.80473212,10.18507227
zzzzzz.xxxxxx.cccccc,Malware,17.25431841,2608.53245,51.07379416,3.117,500,10.22532144,9.070568646
zzzzzz.xxxxxx.cccccc,Malware,20.3930396,3039.848066,55.13481718,2.746,500,10.90460619,9.322415113
zzzzzz.xxxxxx.cccccc,Malware,15.87400498,1496.449189,38.68396553,3.132,500,10.69277042,9.607269407
zzzzzz.xxxxxx.cccccc,Malware,23.79122388,3152.190522,56.14437213,3.293,500,13.05851888,10.6739986
zzzzzz.xxxxxx.cccccc,Malware,14.528425,1457.175233,38.17296468,3.385,500,9.81468639,8.831142461
zzzzzz.xxxxxx.cccccc,Malware,14.70856219,1505.731064,38.80375064,3.238,500,9.634059457,8.68790849
zzzzzz.xxxxxx.cccccc,Malware,17.22616418,2604.2879,51.03222414,3.138,500,10.10427456,8.856772604
zzzzzz.xxxxxx.cccccc,Malware,17.18363184,2666.283021,51.63606318,3.564,500,10.23773946,9.159059782
zzzzzz.xxxxxx.cccccc,Malware,17.9020597,2676.71297,51.73695942,2.59,500,10.16299635,8.740130176
zzzzzz.xxxxxx.cccccc,Malware,19.49251244,2843.237815,53.32201998,3.664,500,10.83731892,9.357582547
zzzzzz.xxxxxx.cccccc,Malware,13.104435,1288.23601,35.89200483,3.955,500,9.795252471,9.214265058
zzzzzz.xxxxxx.cccccc,Malware,15.31183,1537.347314,39.20902083,3.217,500,10.20795432,9.156056276
zzzzzz.xxxxxx.cccccc,Malware,18.36331343,2702.391106,51.98452756,3.308,500,10.40559424,8.989417536
zzzzzz.xxxxxx.cccccc,Malware,14.722385,1431.656487,37.83723678,3.663,500,10.17318634,9.224516914
zzzzzz.xxxxxx.cccccc,Malware,20.59797015,2800.316813,52.91801974,3.247,500,11.81194404,10.0208056
zzzzzz.xxxxxx.cccccc,Malware,16.35554229,2564.981515,50.64564655,2.734,500,9.809293393,8.774811946
